Date,AAPL,^GSPC
2021-03-16,122.30461120605469,3962.7099609375
2021-03-17,121.51569366455078,3974.1201171875
2021-03-18,117.39568328857422,3915.4599609375
2021-03-19,116.86972045898438,3913.10009765625
2021-03-22,120.18131256103516,3940.590087890625
2021-03-23,119.35340881347656,3910.52001953125
2021-03-24,116.96713256835938,3889.139892578125
2021-03-25,117.45410919189453,3909.52001953125
2021-03-26,118.05799865722656,3974.5400390625
2021-03-29,118.23332977294922,3971.090087890625
2021-03-30,116.78205871582031,3958.550048828125
2021-03-31,118.97355651855469,3972.889892578125
2021-04-01,119.80144500732422,4019.8701171875
2021-04-05,122.62604522705078,4077.909912109375
2021-04-06,122.92798614501953,4073.93994140625
2021-04-07,124.57403564453125,4079.949951171875
2021-04-08,126.97008514404297,4097.169921875
2021-04-09,129.54139709472656,4128.7998046875
2021-04-12,127.82718658447266,4127.990234375
2021-04-13,130.9342498779297,4141.58984375
2021-04-14,128.5966339111328,4124.66015625
2021-04-15,131.00242614746094,4170.419921875
2021-04-16,130.6712646484375,4185.47021484375
2021-04-19,131.33355712890625,4163.259765625
2021-04-20,129.6485595703125,4134.93994140625
2021-04-21,130.0284423828125,4173.419921875
2021-04-22,128.50901794433594,4134.97998046875
2021-04-23,130.82705688476562,4180.169921875
2021-04-26,131.2166748046875,4187.6201171875
2021-04-27,130.895263671875,4186.72021484375
2021-04-28,130.10635375976562,4183.18017578125
2021-04-29,130.0089111328125,4211.47021484375
2021-04-30,128.04148864746094,4181.169921875
2021-05-03,129.09335327148438,4192.66015625
2021-05-04,124.52532958984375,4164.66015625
2021-05-05,124.76884460449219,4167.58984375
2021-05-06,126.3661880493164,4201.6201171875
2021-05-07,127.03939056396484,4232.60009765625
2021-05-10,123.7612075805664,4188.43017578125
2021-05-11,122.8440933227539,4152.10009765625
2021-05-12,119.78057098388672,4063.0400390625
2021-05-13,121.92698669433594,4112.5
2021-05-14,124.34658813476562,4173.85009765625
2021-05-17,123.19532775878906,4163.2900390625
2021-05-18,121.8099136352539,4127.830078125
2021-05-19,121.6537857055664,4115.68017578125
2021-05-20,124.20999908447266,4159.1201171875
2021-05-21,122.37577056884766,4155.85986328125
2021-05-24,124.00511169433594,4197.0498046875
2021-05-25,123.80998229980469,4188.1298828125
2021-05-26,123.7612075805664,4195.990234375
2021-05-27,122.22943878173828,4200.8798828125
2021-05-28,121.57575225830078,4204.10986328125
2021-06-01,121.25379180908203,4202.0400390625
2021-06-02,122.01477813720703,4208.1201171875
2021-06-03,120.53179931640625,4192.85009765625
2021-06-04,122.82456970214844,4229.89013671875
2021-06-07,122.83431243896484,4226.52001953125
2021-06-08,123.65388488769531,4227.259765625
2021-06-09,124.03436279296875,4219.5498046875
2021-06-10,123.0392074584961,4239.18017578125
2021-06-11,124.24903106689453,4247.43994140625
2021-06-14,127.3027572631836,4255.14990234375
2021-06-15,126.48323822021484,4246.58984375
2021-06-16,126.98086547851562,4223.7001953125
2021-06-17,128.5808868408203,4221.85986328125
2021-06-18,127.28328704833984,4166.4501953125
2021-06-21,129.07847595214844,4224.7900390625
2021-06-22,130.71755981445312,4246.43994140625
2021-06-23,130.44444274902344,4241.83984375
2021-06-24,130.1614532470703,4266.490234375
2021-06-25,129.86878967285156,4280.7001953125
2021-06-28,131.4981231689453,4290.60986328125
2021-06-29,133.01036071777344,4291.7998046875
2021-06-30,133.6250457763672,4297.5
2021-07-01,133.9274444580078,4319.93994140625
2021-07-02,136.552001953125,4352.33984375
2021-07-06,138.56182861328125,4343.5400390625
2021-07-07,141.04971313476562,4358.1298828125
2021-07-08,139.75210571289062,4320.81982421875
2021-07-09,141.57656860351562,4369.5498046875
2021-07-12,140.98143005371094,4384.6298828125
2021-07-13,142.0936737060547,4369.2099609375
2021-07-14,145.51815795898438,4374.2998046875
2021-07-15,144.86448669433594,4360.02978515625
2021-07-16,142.8253936767578,4327.16015625
2021-07-19,138.98133850097656,4258.490234375
2021-07-20,142.5912322998047,4323.06005859375
2021-07-21,141.8594970703125,4358.68994140625
2021-07-22,143.2254180908203,4367.47998046875
2021-07-23,144.94256591796875,4411.7900390625
2021-07-26,145.36207580566406,4422.2998046875
2021-07-27,143.19613647460938,4401.4599609375
2021-07-28,141.44972229003906,4400.64013671875
2021-07-29,142.0936737060547,4419.14990234375
2021-07-30,142.30831909179688,4395.259765625
2021-08-02,141.9766082763672,4387.16015625
2021-08-03,143.7717742919922,4423.14990234375
2021-08-04,143.3717498779297,4402.66015625
2021-08-05,143.47911071777344,4429.10009765625
2021-08-06,142.79507446289062,4436.52001953125
2021-08-09,142.74624633789062,4432.35009765625
2021-08-10,142.26747131347656,4436.75
2021-08-11,142.5215301513672,4442.41015625
2021-08-12,145.48214721679688,4460.830078125
2021-08-13,145.68736267089844,4468.0
2021-08-16,147.6611328125,4479.7099609375
2021-08-17,146.75244140625,4448.080078125
2021-08-18,143.01007080078125,4400.27001953125
2021-08-19,143.34228515625,4405.7998046875
2021-08-20,144.7981719970703,4441.669921875
2021-08-23,146.28341674804688,4479.52978515625
2021-08-24,146.19546508789062,4486.22998046875
2021-08-25,144.96426391601562,4496.18994140625
2021-08-26,144.1630401611328,4470.0
2021-08-27,145.19882202148438,4509.3701171875
2021-08-30,149.61534118652344,4528.7900390625
2021-08-31,148.35487365722656,4522.68017578125
2021-09-01,149.0193328857422,4524.08984375
2021-09-02,150.13320922851562,4536.9501953125
2021-09-03,150.76834106445312,4535.43017578125
